,序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度.1,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度.1,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度.1,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度.1,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
30,31,2020/10/26 9:52:09,534秒,手机提交,直接访问,171.82.110.164(湖北-武汉),5,0.25,952,0.21428571428571427,943,0.21428571428571427,54,0.25,1132,0.21428571428571427,245,0.17857142857142858,8,0.17857142857142858,1非常消极,72,0.21428571428571427,2比较消极,173,0.17857142857142858,2比较消极,6,0.21428571428571427,5有些积极,598,0.21428571428571427,5有些积极,710,0.21428571428571427,7非常积极,礼让,家暴,卖萌,做作,2,0.21428571428571427,6比较积极,23,0.17857142857142858,7非常积极,749,0.17857142857142858,7非常积极,0,0.21428571428571427,7非常积极,6,0.21428571428571427,7非常积极,654,0.21428571428571427,7非常积极,开朗,暴躁,智慧,呆板,女性,20,本科,4
31,32,2020/10/26 9:58:55,968秒,微信,,218.199.207.47(湖北-武汉),935,0.21428571428571427,860,0.21428571428571427,1260,0.17857142857142858,547,0.25,215,0.25,529,0.25,5,0.21428571428571427,6比较积极,1,0.21428571428571427,3有些消极,3,0.21428571428571427,4一般,0,0.21428571428571427,6比较积极,36,0.25,6比较积极,6,0.21428571428571427,6比较积极,认真工作,家暴,化妆,邋遢,88,0.21428571428571427,7非常积极,2,0.21428571428571427,6比较积极,23,0.21428571428571427,6比较积极,0,0.25,7非常积极,6,0.21428571428571427,6比较积极,14,0.25,7非常积极,有责任心,懒惰,漂亮,粗鲁,男性,26,硕士研究生及以上,6
32,33,2020/10/26 9:58:57,271秒,微信,,113.57.237.23(湖北-武汉),0,0.21428571428571427,17,0.21428571428571427,2,0.17857142857142858,1167,0.21428571428571427,191,0.21428571428571427,1539,0.07142857142857142,1,0.21428571428571427,2比较消极,3,0.21428571428571427,3有些消极,2,0.21428571428571427,5有些积极,6,0.21428571428571427,3有些消极,0,0.21428571428571427,6比较积极,7,0.21428571428571427,5有些积极,打游戏,吸烟,化妆,购物,26,0.21428571428571427,6比较积极,193,0.21428571428571427,6比较积极,489,0.21428571428571427,2比较消极,563,0.21428571428571427,6比较积极,562,0.21428571428571427,1非常消极,110,0.21428571428571427,1非常消极,心胸宽广,大男子主义,心细如发,自以为是,男性,20,本科,4
33,34,2020/10/26 9:59:40,972秒,微信,,223.75.69.181(湖北-武汉),2,0.25,459,0.25,1246,0.17857142857142858,22,0.17857142857142858,1429,0.14285714285714285,110,0.14285714285714285,1,0.21428571428571427,1非常消极,208,0.21428571428571427,3有些消极,538,0.21428571428571427,1非常消极,0,0.21428571428571427,6比较积极,18,0.25,4一般,35,0.21428571428571427,2比较消极,礼貌,吐痰,知性,不修边幅,1035,0.07142857142857142,4一般,687,0.17857142857142858,7非常积极,438,0.21428571428571427,5有些积极,1025,0.10714285714285714,5有些积极,1018,0.10714285714285714,7非常积极,1019,0.10714285714285714,7非常积极,说一声,是的呢,分分钟钟,让学生,女性,20,本科,5
34,35,2020/10/26 10:01:40,569秒,手机提交,直接访问,223.104.20.71(湖北-武汉),959,0.21428571428571427,911,0.21428571428571427,962,0.21428571428571427,99,0.25,14,0.17857142857142858,976,0.21428571428571427,86,0.21428571428571427,2比较消极,529,0.21428571428571427,4一般,802,0.17857142857142858,7非常积极,168,0.21428571428571427,4一般,847,0.17857142857142858,5有些积极,202,0.17857142857142858,4一般,喜欢运动、阳光积极,自恋自大,温柔知性,多愁善感,9,0.17857142857142858,5有些积极,46,0.14285714285714285,7非常积极,13,0.17857142857142858,6比较积极,0,0.17857142857142858,6比较积极,105,0.17857142857142858,7非常积极,4,0.21428571428571427,4一般,幽默,自恋自大,知性,多愁善感,女性,22,硕士研究生及以上,6
35,36,2020/10/26 10:02:12,327秒,微信,,113.200.85.41(陕西-西安),227,0.21428571428571427,249,0.14285714285714285,1497,0.10714285714285714,1357,0.17857142857142858,44,0.07142857142857142,982,0.21428571428571427,5,0.21428571428571427,6比较积极,66,0.21428571428571427,6比较积极,15,0.25,7非常积极,0,0.25,6比较积极,720,0.21428571428571427,6比较积极,661,0.21428571428571427,6比较积极,打球,喝醉酒,跳舞,撒娇,11,0.21428571428571427,4一般,251,0.21428571428571427,6比较积极,20,0.21428571428571427,4一般,0,0.14285714285714285,4一般,83,0.14285714285714285,2比较消极,992,0.14285714285714285,6比较积极,果敢,自以为是,温柔,哭哭啼啼,女性,25,硕士研究生及以上,6
36,37,2020/10/26 10:04:10,1302秒,手机提交,直接访问,223.104.106.78(河南-开封),816,0.21428571428571427,899,0.21428571428571427,885,0.21428571428571427,237,0.17857142857142858,1356,0.17857142857142858,1348,0.17857142857142858,792,0.17857142857142858,5有些积极,1,0.14285714285714285,2比较消极,3,0.14285714285714285,2比较消极,0,0.14285714285714285,4一般,966,0.14285714285714285,4一般,9,0.21428571428571427,4一般,有男子气概,抽烟,温柔,做作,746,0.17857142857142858,6比较积极,927,0.14285714285714285,5有些积极,75,0.25,4一般,111,0.14285714285714285,4一般,0,0.14285714285714285,6比较积极,93,0.21428571428571427,4一般,有男子气概,抽烟,温柔,虚伪,男性,21,本科,5
37,38,2020/10/26 10:05:32,610秒,微信,,119.103.25.31(湖北-武汉),343,0.25,0,0.21428571428571427,27,0.21428571428571427,41,0.17857142857142858,56,0.21428571428571427,1112,0.21428571428571427,1,0.21428571428571427,3有些消极,5,0.21428571428571427,6比较积极,3,0.17857142857142858,3有些消极,0,0.21428571428571427,4一般,20,0.25,4一般,19,0.21428571428571427,4一般,打篮球,打女人,关爱小孩,绿茶行为,45,0.21428571428571427,6比较积极,7,0.21428571428571427,2比较消极,518,0.21428571428571427,3有些消极,0,0.17857142857142858,6比较积极,17,0.21428571428571427,6比较积极,4,0.21428571428571427,4一般,有担当,大男子主义,善解人意,扭扭捏捏,女性,21,本科,3
38,39,2020/10/26 10:07:06,545秒,手机提交,直接访问,223.104.20.63(湖北-武汉),23,0.25,4,0.25,28,0.25,613,0.25,1156,0.21428571428571427,1144,0.21428571428571427,257,0.25,5有些积极,74,0.21428571428571427,4一般,728,0.17857142857142858,3有些消极,74,0.25,5有些积极,158,0.17857142857142858,5有些积极,851,0.17857142857142858,2比较消极,摸头发,吹口哨,摸脸,聒噪,2,0.17857142857142858,7非常积极,125,0.25,5有些积极,297,0.25,6比较积极,3,0.25,7非常积极,52,0.21428571428571427,5有些积极,66,0.21428571428571427,4一般,勇敢,胆怯,爱干净,吵闹,女性,20,本科,6
39,40,2020/10/26 10:08:56,1989秒,微信,,111.47.2.189(湖北-武汉),942,0.21428571428571427,125,0.25,818,0.21428571428571427,69,0.21428571428571427,535,0.25,497,0.25,8,0.21428571428571427,1非常消极,3,0.21428571428571427,2比较消极,1,0.17857142857142858,1非常消极,157,0.17857142857142858,2比较消极,0,0.21428571428571427,6比较积极,18,0.17857142857142858,4一般,绅士,家暴,善解人意,两面三刀,57,0.17857142857142858,2比较消极,2,0.17857142857142858,7非常积极,49,0.17857142857142858,6比较积极,0,0.17857142857142858,6比较积极,48,0.17857142857142858,2比较消极,566,0.21428571428571427,5有些积极,上进,狭隘自私,独立,狭隘,女性,25,硕士研究生及以上,6
40,41,2020/10/26 10:10:35,565秒,手机提交,直接访问,61.183.81.138(湖北-武汉),1203,0.17857142857142858,107,0.21428571428571427,1213,0.17857142857142858,151,0.25,1074,0.21428571428571427,1473,0.14285714285714285,2,0.25,3有些消极,1,0.17857142857142858,1非常消极,35,0.17857142857142858,4一般,152,0.17857142857142858,6比较积极,26,0.17857142857142858,6比较积极,136,0.14285714285714285,5有些积极,健身,抽烟,跳舞,穿着暴露,101,0.17857142857142858,5有些积极,13,0.14285714285714285,6比较积极,46,0.14285714285714285,5有些积极,282,0.17857142857142858,7非常积极,63,0.14285714285714285,6比较积极,71,0.25,5有些积极,爽快,扭扭捏捏,洒脱,吝啬,男性,25,硕士研究生及以上,5
41,42,2020/10/26 10:13:21,852秒,手机提交,直接访问,113.57.246.225(湖北-武汉),296,0.25,35,0.25,1205,0.17857142857142858,1065,0.21428571428571427,629,0.25,1095,0.21428571428571427,14,0.25,7非常积极,803,0.17857142857142858,5有些积极,3,0.21428571428571427,3有些消极,0,0.25,4一般,827,0.17857142857142858,4一般,34,0.25,5有些积极,运动,粗鲁,温柔,敏感,9,0.21428571428571427,7非常积极,233,0.17857142857142858,2比较消极,151,0.17857142857142858,4一般,0,0.17857142857142858,5有些积极,663,0.21428571428571427,6比较积极,660,0.21428571428571427,4一般,阳光,自我中心,有亲和力,脆弱,女性,23,硕士研究生及以上,5
42,43,2020/10/26 10:25:12,379秒,手机提交,直接访问,183.92.251.134(湖北-武汉),80,0.25,1243,0.17857142857142858,1197,0.17857142857142858,115,0.21428571428571427,70,0.21428571428571427,26,0.21428571428571427,465,0.21428571428571427,6比较积极,746,0.17857142857142858,6比较积极,560,0.21428571428571427,6比较积极,34,0.21428571428571427,6比较积极,155,0.21428571428571427,6比较积极,132,0.25,4一般,自信演讲,家暴,逛街,家暴,36,0.21428571428571427,4一般,115,0.14285714285714285,7非常积极,43,0.21428571428571427,7非常积极,0,0.21428571428571427,6比较积极,10,0.25,4一般,216,0.21428571428571427,4一般,颜值,暴力,颜值身材,暴力,女性,20,本科,6
43,44,2020/10/26 10:28:24,450秒,微信,,218.199.207.112(湖北-武汉),867,0.21428571428571427,972,0.21428571428571427,1207,0.17857142857142858,1311,0.17857142857142858,1282,0.17857142857142858,1043,0.21428571428571427,1,0.17857142857142858,4一般,480,0.21428571428571427,6比较积极,570,0.21428571428571427,4一般,955,0.14285714285714285,4一般,189,0.14285714285714285,4一般,879,0.17857142857142858,4一般,赚钱养家,酗酒,勤俭持家,唠叨,12,0.21428571428571427,5有些积极,36,0.17857142857142858,5有些积极,227,0.17857142857142858,5有些积极,10,0.21428571428571427,5有些积极,3,0.21428571428571427,5有些积极,179,0.21428571428571427,5有些积极,理性,强势,温柔,懦弱,女性,23,硕士研究生及以上,6
44,45,2020/10/26 10:28:47,1338秒,手机提交,直接访问,27.17.20.74(湖北-武汉),130,0.25,392,0.25,407,0.25,750,0.25,545,0.25,1160,0.21428571428571427,5,0.21428571428571427,6比较积极,562,0.21428571428571427,3有些消极,140,0.21428571428571427,6比较积极,667,0.21428571428571427,6比较积极,132,0.21428571428571427,3有些消极,834,0.17857142857142858,3有些消极,嘘寒问暖,脚踏两条船,温柔体贴,小三,526,0.21428571428571427,3有些消极,98,0.21428571428571427,3有些消极,486,0.21428571428571427,6比较积极,19,0.21428571428571427,3有些消极,134,0.21428571428571427,6比较积极,211,0.21428571428571427,3有些消极,温暖,懒惰,温柔,懒惰,女性,23,本科,5
45,46,2020/10/26 10:35:24,910秒,微信,,218.199.207.107(湖北-武汉),3,0.21428571428571427,12,0.25,1193,0.17857142857142858,1046,0.21428571428571427,1036,0.21428571428571427,1145,0.21428571428571427,1,0.25,1非常消极,121,0.21428571428571427,1非常消极,100,0.17857142857142858,1非常消极,815,0.17857142857142858,7非常积极,166,0.21428571428571427,4一般,867,0.17857142857142858,4一般,保家卫国,家暴,关心关爱他人,关系暴力，社会排斥他人,731,0.17857142857142858,4一般,232,0.21428571428571427,2比较消极,86,0.21428571428571427,2比较消极,630,0.21428571428571427,7非常积极,853,0.17857142857142858,5有些积极,3,0.21428571428571427,5有些积极,意志顽强,冷酷无情,温暖善良,小肚鸡肠,女性,22,本科,5
46,47,2020/10/26 10:37:59,330秒,链接,直接访问,218.199.207.95(湖北-武汉),37,0.21428571428571427,896,0.21428571428571427,57,0.21428571428571427,58,0.21428571428571427,1155,0.21428571428571427,628,0.25,14,0.17857142857142858,6比较积极,30,0.21428571428571427,6比较积极,2,0.21428571428571427,4一般,4,0.21428571428571427,4一般,32,0.17857142857142858,4一般,9,0.21428571428571427,5有些积极,打篮球,打人,微笑,矫情,36,0.17857142857142858,6比较积极,13,0.14285714285714285,6比较积极,87,0.17857142857142858,3有些消极,0,0.17857142857142858,6比较积极,14,0.14285714285714285,5有些积极,78,0.17857142857142858,3有些消极,上进,打人,美丽,作,男性,21,本科,6
47,48,2020/10/26 10:42:24,356秒,手机提交,直接访问,119.103.19.179(湖北-武汉),2,0.25,869,0.21428571428571427,1405,0.14285714285714285,1540,0.07142857142857142,1321,0.17857142857142858,254,0.17857142857142858,1,0.21428571428571427,1非常消极,3,0.21428571428571427,1非常消极,2,0.21428571428571427,4一般,0,0.21428571428571427,6比较积极,4,0.21428571428571427,4一般,164,0.21428571428571427,4一般,做运动,抽烟,化妆,说闲话,2,0.21428571428571427,6比较积极,20,0.21428571428571427,6比较积极,525,0.21428571428571427,6比较积极,4,0.21428571428571427,3有些消极,19,0.14285714285714285,3有些消极,48,0.17857142857142858,3有些消极,勇敢,直脾气,温柔,优柔寡断,女性,20,本科,7
48,49,2020/10/26 10:54:18,358秒,微信,,171.82.191.227(湖北-武汉),416,0.21428571428571427,206,0.21428571428571427,4,0.25,145,0.25,798,0.25,1322,0.17857142857142858,5,0.25,6比较积极,142,0.21428571428571427,4一般,915,0.14285714285714285,4一般,13,0.21428571428571427,4一般,202,0.17857142857142858,4一般,18,0.21428571428571427,2比较消极,打篮球,大声说话,捂嘴笑,八卦,27,0.21428571428571427,5有些积极,505,0.21428571428571427,5有些积极,187,0.17857142857142858,4一般,123,0.17857142857142858,4一般,51,0.14285714285714285,3有些消极,0,0.17857142857142858,4一般,高,嗓门大,温柔,安静,女性,22,本科,6
49,50,2020/10/26 11:05:40,678秒,微信,,218.199.207.83(湖北-武汉),292,0.25,937,0.21428571428571427,6,0.14285714285714285,505,0.25,1139,0.21428571428571427,185,0.25,1,0.21428571428571427,2比较消极,583,0.21428571428571427,4一般,535,0.21428571428571427,6比较积极,0,0.21428571428571427,6比较积极,188,0.21428571428571427,3有些消极,663,0.21428571428571427,4一般,体育锻炼,存很多脏袜子,良好的形象,话特别多,34,0.21428571428571427,6比较积极,227,0.21428571428571427,6比较积极,491,0.21428571428571427,6比较积极,649,0.21428571428571427,6比较积极,627,0.21428571428571427,4一般,650,0.21428571428571427,6比较积极,方向感不错,有的事情觉得不那么重要,形象佳,造作,女性,21,本科,6
50,51,2020/10/26 11:07:35,518秒,微信,,36.148.117.176(北京-北京),6,0.21428571428571427,1250,0.17857142857142858,1422,0.14285714285714285,7,0.21428571428571427,67,0.17857142857142858,255,0.10714285714285714,3,0.17857142857142858,2比较消极,10,0.14285714285714285,1非常消极,12,0.14285714285714285,6比较积极,0,0.14285714285714285,5有些积极,19,0.17857142857142858,5有些积极,18,0.17857142857142858,4一般,打球,吸烟,化妆,自拍,2,0.17857142857142858,6比较积极,16,0.14285714285714285,3有些消极,190,0.17857142857142858,5有些积极,1,0.21428571428571427,6比较积极,168,0.17857142857142858,4一般,1027,0.10714285714285714,3有些消极,勇敢,粗心,心细,心机,女性,23,本科,6
51,52,2020/10/26 11:23:14,370秒,微信,,171.82.165.6(湖北-武汉),140,0.25,965,0.21428571428571427,93,0.21428571428571427,9,0.25,778,0.25,1125,0.21428571428571427,5,0.25,7非常积极,2,0.25,4一般,578,0.21428571428571427,1非常消极,4,0.25,6比较积极,0,0.25,6比较积极,27,0.21428571428571427,4一般,打篮球,抽烟喝酒,化妆,多嘴,36,0.21428571428571427,6比较积极,727,0.17857142857142858,5有些积极,158,0.17857142857142858,3有些消极,10,0.21428571428571427,5有些积极,612,0.21428571428571427,3有些消极,789,0.17857142857142858,5有些积极,理性,不修边幅,细心,情绪化,女性,19,本科,5
52,53,2020/10/26 11:24:47,940秒,手机提交,直接访问,218.199.207.63(湖北-武汉),17,0.21428571428571427,68,0.17857142857142858,5,0.14285714285714285,265,0.14285714285714285,25,0.17857142857142858,22,0.21428571428571427,3,0.21428571428571427,3有些消极,1,0.21428571428571427,2比较消极,156,0.17857142857142858,4一般,4,0.21428571428571427,4一般,831,0.17857142857142858,4一般,0,0.17857142857142858,5有些积极,打篮球,纹身,化妆,抽烟,23,0.17857142857142858,5有些积极,9,0.14285714285714285,6比较积极,101,0.17857142857142858,6比较积极,0,0.14285714285714285,5有些积极,15,0.14285714285714285,4一般,44,0.17857142857142858,3有些消极,阳光,斤斤计较,善解人意,心计多,女性,20,本科,7
53,54,2020/10/26 11:25:15,239秒,微信,,221.4.32.26(广东-广州),0,0.21428571428571427,1209,0.17857142857142858,1227,0.17857142857142858,99,0.21428571428571427,24,0.21428571428571427,1111,0.21428571428571427,1,0.14285714285714285,2比较消极,3,0.21428571428571427,2比较消极,16,0.14285714285714285,4一般,0,0.21428571428571427,5有些积极,28,0.21428571428571427,6比较积极,49,0.17857142857142858,4一般,见义勇为,抽烟,美容,做作,27,0.14285714285714285,5有些积极,706,0.17857142857142858,5有些积极,99,0.21428571428571427,4一般,94,0.21428571428571427,4一般,948,0.14285714285714285,5有些积极,178,0.21428571428571427,5有些积极,高,凶,温柔,头发短,女性,20,本科,5
54,55,2020/10/26 11:31:13,252秒,手机提交,直接访问,223.104.64.204(广东-未知),0,0.21428571428571427,92,0.21428571428571427,875,0.21428571428571427,1148,0.21428571428571427,1273,0.17857142857142858,1320,0.17857142857142858,1,0.14285714285714285,2比较消极,72,0.21428571428571427,2比较消极,3,0.17857142857142858,2比较消极,0,0.21428571428571427,6比较积极,4,0.21428571428571427,5有些积极,6,0.21428571428571427,4一般,搬东西,抽烟,化妆,购物,253,0.21428571428571427,5有些积极,915,0.14285714285714285,4一般,99,0.21428571428571427,5有些积极,39,0.14285714285714285,6比较积极,0,0.21428571428571427,6比较积极,67,0.17857142857142858,6比较积极,声音低沉,胡须,温柔,矫揉做作,女性,21,本科,6
55,56,2020/10/26 11:39:36,297秒,微信,,117.136.81.124(湖北-武汉),0,0.21428571428571427,931,0.21428571428571427,7,0.25,25,0.21428571428571427,1094,0.21428571428571427,784,0.25,1,0.25,3有些消极,3,0.25,4一般,8,0.21428571428571427,2比较消极,0,0.25,6比较积极,4,0.25,4一般,80,0.14285714285714285,4一般,请客,不请客,化妆,抽烟,12,0.21428571428571427,6比较积极,139,0.21428571428571427,7非常积极,22,0.25,6比较积极,831,0.17857142857142858,1非常消极,3,0.21428571428571427,6比较积极,0,0.21428571428571427,7非常积极,负责任,不负责任,温柔,不温柔,男性,21,本科,5
56,57,2020/10/26 11:50:36,297秒,微信,,106.120.232.185(北京-北京),6,0.21428571428571427,3,0.25,230,0.21428571428571427,1082,0.21428571428571427,25,0.25,1019,0.21428571428571427,5,0.21428571428571427,6比较积极,2,0.17857142857142858,2比较消极,1,0.21428571428571427,1非常消极,65,0.21428571428571427,4一般,9,0.25,5有些积极,38,0.21428571428571427,6比较积极,保护他人,抽烟,照顾别人,哭哭啼啼,2,0.21428571428571427,5有些积极,20,0.21428571428571427,6比较积极,13,0.21428571428571427,7非常积极,0,0.21428571428571427,7非常积极,38,0.21428571428571427,7非常积极,6,0.17857142857142858,7非常积极,勇敢,傲慢,体贴,软弱,女性,23,本科,3
57,58,2020/10/26 12:34:15,519秒,手机提交,直接访问,171.43.231.63(湖北-武汉),0,0.25,168,0.25,472,0.25,117,0.25,110,0.25,18,0.25,3,0.21428571428571427,4一般,1,0.17857142857142858,1非常消极,196,0.17857142857142858,4一般,0,0.25,7非常积极,4,0.21428571428571427,7非常积极,592,0.21428571428571427,7非常积极,优雅,邋遢,干净,没素质,79,0.21428571428571427,7非常积极,117,0.21428571428571427,4一般,81,0.17857142857142858,1非常消极,70,0.21428571428571427,7非常积极,183,0.25,7非常积极,135,0.21428571428571427,7非常积极,绅士,邋遢,干净,慵懒,女性,20,大专,5
58,59,2020/10/26 12:43:13,824秒,微信,,49.90.173.66(江苏-南京),1,0.21428571428571427,169,0.21428571428571427,923,0.21428571428571427,1297,0.17857142857142858,1071,0.21428571428571427,1129,0.21428571428571427,14,0.21428571428571427,6比较积极,10,0.17857142857142858,3有些消极,769,0.17857142857142858,4一般,0,0.25,7非常积极,648,0.21428571428571427,5有些积极,961,0.14285714285714285,4一般,打球，画画,室内或在离我进的地方吸烟,逛街,化妆俩小时,26,0.17857142857142858,6比较积极,2,0.14285714285714285,6比较积极,874,0.14285714285714285,4一般,51,0.14285714285714285,4一般,74,0.21428571428571427,3有些消极,265,0.14285714285714285,5有些积极,有担当,特别花,温婉宽容,特别任性,女性,22,本科,4
59,60,2020/10/26 12:47:26,420秒,手机提交,直接访问,223.104.94.245(贵州-贵阳),462,0.25,916,0.21428571428571427,345,0.25,59,0.25,26,0.21428571428571427,540,0.25,2,0.21428571428571427,5有些积极,12,0.17857142857142858,6比较积极,15,0.25,6比较积极,105,0.14285714285714285,4一般,0,0.17857142857142858,4一般,20,0.17857142857142858,5有些积极,爱运动,不爱干净,独立工作,勾心斗角,732,0.17857142857142858,5有些积极,249,0.14285714285714285,4一般,900,0.14285714285714285,4一般,111,0.17857142857142858,4一般,643,0.21428571428571427,3有些消极,0,0.10714285714285714,4一般,爱干净,爱炫耀,善良,攻于心计,女性,22,本科,6
60,61,2020/10/26 12:47:56,340秒,微信,,14.108.194.176(重庆-重庆),52,0.21428571428571427,193,0.17857142857142858,1375,0.14285714285714285,977,0.21428571428571427,1305,0.17857142857142858,84,0.21428571428571427,2,0.21428571428571427,4一般,172,0.21428571428571427,3有些消极,549,0.21428571428571427,2比较消极,91,0.25,6比较积极,169,0.21428571428571427,6比较积极,6,0.25,4一般,积极向上,懒惰,整洁自爱,脏乱,223,0.17857142857142858,4一般,2,0.21428571428571427,5有些积极,57,0.21428571428571427,3有些消极,82,0.21428571428571427,6比较积极,819,0.17857142857142858,5有些积极,239,0.17857142857142858,3有些消极,沉稳,无赖,典雅,小家子气,女性,26,硕士研究生及以上,6
61,62,2020/10/26 13:09:07,380秒,手机提交,直接访问,58.22.113.27(福建-福州),101,0.21428571428571427,199,0.21428571428571427,953,0.21428571428571427,103,0.21428571428571427,33,0.21428571428571427,26,0.21428571428571427,1,0.21428571428571427,2比较消极,470,0.21428571428571427,6比较积极,523,0.21428571428571427,7非常积极,633,0.21428571428571427,6比较积极,681,0.21428571428571427,4一般,646,0.21428571428571427,7非常积极,乐于助人,酗酒,知性,脏话,103,0.21428571428571427,7非常积极,171,0.21428571428571427,7非常积极,255,0.21428571428571427,7非常积极,234,0.21428571428571427,7非常积极,640,0.21428571428571427,6比较积极,143,0.21428571428571427,4一般,阳光,小气,大气,斤斤计较,女性,20,本科,6
